"oem","model","launch_announced","launch_status","body_dimensions","body_weight","body_sim","display_type","display_size","display_resolution","features_sensors","platform_os"
"TECNO","Camon 15 Air",2020,"2020","164.5 x 76.5 x 9 mm (6.48 x 3.01 x 0.35 in)",NA,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.6 inches","720 x 1600 pixels, 20:9 ratio (~266 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 10"
"TECNO","Camon 15 Pro",2020,"2020","163.3 x 77.7 x 9.1 mm (6.43 x 3.06 x 0.36 in)",203,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.6 inches","1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 10"
"TECNO","Camon 15",2020,"2020","164.1 x 76.4 x 8.8 mm (6.46 x 3.01 x 0.35 in)",196,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.6 inches","720 x 1600 pixels, 20:9 ratio (~266 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 10"
"TECNO","Camon 12 Air",2019,"2019","164.2 x 76.1 x 8.2 mm (6.46 x 3.00 x 0.32 in)",181,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.55 inches","720 x 1600 pixels, 20:9 ratio (~268 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 9.0 (Pie)"
"TECNO","Pop 3 Plus",2019,"2019","166.7 x 75.8 x 8.4 mm (6.56 x 2.98 x 0.33 in)",180.5,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.52 inches","720 x 1600 pixels, 20:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 9.0 (Pie)"
"TECNO","Spark 4 Lite",2019,"2019","166.7 x 75.8 x 8.4 mm (6.56 x 2.98 x 0.33 in)",NA,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.52 inches","720 x 1600 pixels, 20:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 9.0 (Pie)"
"TECNO","Camon 12 Pro",2019,"2019","158.6 x 75.5 x 7.8 mm (6.24 x 2.97 x 0.31 in)",161,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.35 inches","720 x 1600 pixels, 20:9 ratio (~276 ppi density)","Fingerprint (under display, optical), accelerometer, proximity","Android 9.0 (Pie)"
"TECNO","Camon 12",2019,"2019","166 x 75.8 x 8.2 mm (6.54 x 2.98 x 0.32 in)",170.7,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.52 inches","720 x 1600 pixels, 20:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity","Android 9.0 (Pie)"
"TECNO","Pouvoir 3 Air",2019,"2019","163 x 78.2 x 9.3 mm (6.42 x 3.08 x 0.37 in)",NA,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches","480 x 960 pixels, 18:9 ratio (~179 ppi density)","Fingerprint (rear-mounted), accelerometer","Android 9.0 Pie (Go edition)"
"TECNO","Pouvoir 3 Plus",2019,"2019","159 x 76 x 9.2 mm (6.26 x 2.99 x 0.36 in)",NA,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.35 inches","720 x 1548 pixels (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 9.0 (Pie)"
